,elevation,flight,iteration,band,accuracy,image_processing,grouped_band
0,50,pre-sunrise,1,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
1,100,pre-sunrise,1,RGB-LWIR_IP,0.999,Yes,RGB-LWIR
2,150,pre-sunrise,1,RGB-LWIR_IP,0.505,Yes,RGB-LWIR
3,200,pre-sunrise,1,RGB-LWIR_IP,0.291,Yes,RGB-LWIR
4,250,pre-sunrise,1,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
5,300,pre-sunrise,1,RGB-LWIR_IP,0.13,Yes,RGB-LWIR
6,350,pre-sunrise,1,RGB-LWIR_IP,0.055,Yes,RGB-LWIR
7,400,pre-sunrise,1,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
8,50,post-sunrise,1,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
9,100,post-sunrise,1,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
10,150,post-sunrise,1,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
11,200,post-sunrise,1,RGB-LWIR_IP,0.543,Yes,RGB-LWIR
12,250,post-sunrise,1,RGB-LWIR_IP,0.612,Yes,RGB-LWIR
13,300,post-sunrise,1,RGB-LWIR_IP,0.472,Yes,RGB-LWIR
14,350,post-sunrise,1,RGB-LWIR_IP,0.13,Yes,RGB-LWIR
15,400,post-sunrise,1,RGB-LWIR_IP,0.265,Yes,RGB-LWIR
16,50,noon,1,RGB-LWIR_IP,0.459,Yes,RGB-LWIR
17,100,noon,1,RGB-LWIR_IP,0.838,Yes,RGB-LWIR
18,150,noon,1,RGB-LWIR_IP,0.871,Yes,RGB-LWIR
19,200,noon,1,RGB-LWIR_IP,0.938,Yes,RGB-LWIR
20,250,noon,1,RGB-LWIR_IP,0.529,Yes,RGB-LWIR
21,300,noon,1,RGB-LWIR_IP,0.324,Yes,RGB-LWIR
22,350,noon,1,RGB-LWIR_IP,0.715,Yes,RGB-LWIR
23,400,noon,1,RGB-LWIR_IP,0.476,Yes,RGB-LWIR
24,50,pre-sunset,1,RGB-LWIR_IP,0.783,Yes,RGB-LWIR
25,100,pre-sunset,1,RGB-LWIR_IP,0.894,Yes,RGB-LWIR
26,150,pre-sunset,1,RGB-LWIR_IP,0.872,Yes,RGB-LWIR
27,200,pre-sunset,1,RGB-LWIR_IP,0.76,Yes,RGB-LWIR
28,250,pre-sunset,1,RGB-LWIR_IP,0.582,Yes,RGB-LWIR
29,300,pre-sunset,1,RGB-LWIR_IP,0.672,Yes,RGB-LWIR
30,350,pre-sunset,1,RGB-LWIR_IP,0.421,Yes,RGB-LWIR
31,400,pre-sunset,1,RGB-LWIR_IP,0.46,Yes,RGB-LWIR
32,50,post-sunset,1,RGB-LWIR_IP,0.832,Yes,RGB-LWIR
33,100,post-sunset,1,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
34,150,post-sunset,1,RGB-LWIR_IP,0.505,Yes,RGB-LWIR
35,200,post-sunset,1,RGB-LWIR_IP,0.772,Yes,RGB-LWIR
36,250,post-sunset,1,RGB-LWIR_IP,0.463,Yes,RGB-LWIR
37,300,post-sunset,1,RGB-LWIR_IP,0.265,Yes,RGB-LWIR
38,350,post-sunset,1,RGB-LWIR_IP,0.19,Yes,RGB-LWIR
39,400,post-sunset,1,RGB-LWIR_IP,0.155,Yes,RGB-LWIR
40,50,pre-sunrise,2,RGB-LWIR_IP,0.505,Yes,RGB-LWIR
41,100,pre-sunrise,2,RGB-LWIR_IP,0.805,Yes,RGB-LWIR
42,150,pre-sunrise,2,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
43,200,pre-sunrise,2,RGB-LWIR_IP,0.291,Yes,RGB-LWIR
44,250,pre-sunrise,2,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
45,300,pre-sunrise,2,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
46,350,pre-sunrise,2,RGB-LWIR_IP,0.055,Yes,RGB-LWIR
47,400,pre-sunrise,2,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
48,50,post-sunrise,2,RGB-LWIR_IP,0.998,Yes,RGB-LWIR
49,100,post-sunrise,2,RGB-LWIR_IP,0.505,Yes,RGB-LWIR
50,150,post-sunrise,2,RGB-LWIR_IP,0.672,Yes,RGB-LWIR
51,200,post-sunrise,2,RGB-LWIR_IP,0.626,Yes,RGB-LWIR
52,250,post-sunrise,2,RGB-LWIR_IP,0.672,Yes,RGB-LWIR
53,300,post-sunrise,2,RGB-LWIR_IP,0.472,Yes,RGB-LWIR
54,350,post-sunrise,2,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
55,400,post-sunrise,2,RGB-LWIR_IP,0.338,Yes,RGB-LWIR
56,50,noon,2,RGB-LWIR_IP,0.705,Yes,RGB-LWIR
57,100,noon,2,RGB-LWIR_IP,0.755,Yes,RGB-LWIR
58,150,noon,2,RGB-LWIR_IP,0.905,Yes,RGB-LWIR
59,200,noon,2,RGB-LWIR_IP,0.944,Yes,RGB-LWIR
60,250,noon,2,RGB-LWIR_IP,0.575,Yes,RGB-LWIR
61,300,noon,2,RGB-LWIR_IP,0.562,Yes,RGB-LWIR
62,350,noon,2,RGB-LWIR_IP,0.858,Yes,RGB-LWIR
63,400,noon,2,RGB-LWIR_IP,0.277,Yes,RGB-LWIR
64,50,pre-sunset,2,RGB-LWIR_IP,0.738,Yes,RGB-LWIR
65,100,pre-sunset,2,RGB-LWIR_IP,0.829,Yes,RGB-LWIR
66,150,pre-sunset,2,RGB-LWIR_IP,0.872,Yes,RGB-LWIR
67,200,pre-sunset,2,RGB-LWIR_IP,0.786,Yes,RGB-LWIR
68,250,pre-sunset,2,RGB-LWIR_IP,0.66,Yes,RGB-LWIR
69,300,pre-sunset,2,RGB-LWIR_IP,0.584,Yes,RGB-LWIR
70,350,pre-sunset,2,RGB-LWIR_IP,0.439,Yes,RGB-LWIR
71,400,pre-sunset,2,RGB-LWIR_IP,0.46,Yes,RGB-LWIR
72,50,post-sunset,2,RGB-LWIR_IP,0.805,Yes,RGB-LWIR
73,100,post-sunset,2,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
74,150,post-sunset,2,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
75,200,post-sunset,2,RGB-LWIR_IP,0.557,Yes,RGB-LWIR
76,250,post-sunset,2,RGB-LWIR_IP,0.068,Yes,RGB-LWIR
77,300,post-sunset,2,RGB-LWIR_IP,0.449,Yes,RGB-LWIR
78,350,post-sunset,2,RGB-LWIR_IP,0.19,Yes,RGB-LWIR
79,400,post-sunset,2,RGB-LWIR_IP,0.232,Yes,RGB-LWIR
80,50,pre-sunrise,3,RGB-LWIR_IP,0.669,Yes,RGB-LWIR
81,100,pre-sunrise,3,RGB-LWIR_IP,0.805,Yes,RGB-LWIR
82,150,pre-sunrise,3,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
83,200,pre-sunrise,3,RGB-LWIR_IP,0.291,Yes,RGB-LWIR
84,250,pre-sunrise,3,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
85,300,pre-sunrise,3,RGB-LWIR_IP,0.048,Yes,RGB-LWIR
86,350,pre-sunrise,3,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
87,400,pre-sunrise,3,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
88,50,post-sunrise,3,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
89,100,post-sunrise,3,RGB-LWIR_IP,0.999,Yes,RGB-LWIR
90,150,post-sunrise,3,RGB-LWIR_IP,0.672,Yes,RGB-LWIR
91,200,post-sunrise,3,RGB-LWIR_IP,0.831,Yes,RGB-LWIR
92,250,post-sunrise,3,RGB-LWIR_IP,0.52,Yes,RGB-LWIR
93,300,post-sunrise,3,RGB-LWIR_IP,0.914,Yes,RGB-LWIR
94,350,post-sunrise,3,RGB-LWIR_IP,0.353,Yes,RGB-LWIR
95,400,post-sunrise,3,RGB-LWIR_IP,0.328,Yes,RGB-LWIR
96,50,noon,3,RGB-LWIR_IP,0.605,Yes,RGB-LWIR
97,100,noon,3,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
98,150,noon,3,RGB-LWIR_IP,0.593,Yes,RGB-LWIR
99,200,noon,3,RGB-LWIR_IP,0.944,Yes,RGB-LWIR
100,250,noon,3,RGB-LWIR_IP,0.586,Yes,RGB-LWIR
101,300,noon,3,RGB-LWIR_IP,0.562,Yes,RGB-LWIR
102,350,noon,3,RGB-LWIR_IP,0.356,Yes,RGB-LWIR
103,400,noon,3,RGB-LWIR_IP,0.193,Yes,RGB-LWIR
104,50,pre-sunset,3,RGB-LWIR_IP,0.738,Yes,RGB-LWIR
